node,role,community,new_community
0,Administrator,Administrator,0
1,Member,Administrator,0
2,Member,Administrator,0
3,Member,Administrator,0
4,Member,Administrator,2
5,Member,Administrator,2
6,Member,Administrator,2
7,Member,Administrator,0
8,Member,Administrator,1
9,Member,Instructor,1
10,Member,Administrator,2
11,Member,Administrator,0
12,Member,Administrator,0
13,Member,Administrator,0
14,Member,Instructor,1
15,Member,Instructor,1
16,Member,Administrator,2
17,Member,Administrator,0
18,Member,Instructor,1
19,Member,Administrator,0
20,Member,Instructor,1
21,Member,Administrator,0
22,Member,Instructor,1
23,Member,Instructor,3
24,Member,Instructor,3
25,Member,Instructor,3
26,Member,Instructor,1
27,Member,Instructor,3
28,Member,Instructor,3
29,Member,Instructor,1
30,Member,Instructor,1
31,Member,Instructor,3
32,Member,Instructor,1
33,Instructor,Instructor,1
